wv2_savi_M,wv2_savi_S,sno_savi_M,sno_savi_S,mos_savi_M,mos_savi_S,Dec_14,Dif_D_J,Jan_17,Dif_J_F,Feb_15,Dif_F_M,Mar_17,Dif_M_A,Apr_17,Dif_A_A,Apr_28
0.961219593,0.034444864,-0.037385761,0.016797885,0.148122529,0.27455268,33.04789559,33.98047112,67.02836671,-2.402206486,64.62616023,22.54806798,87.1742282,-15.19843947,71.97578873,-28.6068157,43.36897303
0.996755374,0.035838942,-0.040605905,0.01382872,0.020687812,0.160659196,29.32807015,32.25295117,61.58102132,-0.211679794,61.36934152,21.3621571,82.73149863,-20.98099776,61.75050087,-24.31612824,37.43437263
0.979708103,0.028257378,-0.04314272,0.00587463,0.120592819,0.254924463,30.36358659,31.23331074,61.59689734,-1.829172211,59.76772512,21.36158062,81.12930574,-20.88529877,60.24400698,-24.050225,36.19378197
0.947894091,0.02295552,-0.044380281,0.005701281,-0.030479554,0.059830519,28.9049927,31.66481571,60.56980841,-3.891667387,56.67814102,23.3077775,79.98591853,-22.02734204,57.95857649,-21.40930085,36.54927564
0.907936996,0.036097802,-0.041229813,0.013227522,0.07085377,0.175626384,31.98154726,27.8618177,59.84336496,4.232299599,64.07566456,17.77365529,81.84931985,-9.073516498,72.77580335,-31.54780961,41.22799374
1.064667605,0.025436616,-0.047695646,0.017975839,0.068892096,0.201303287,35.55885595,29.10378659,64.66264254,2.800714852,67.46335739,20.45716538,87.92052278,-9.916915455,78.00360732,-33.51197735,44.49162997
0.91752862,0.048583186,0.148481725,0.089350284,0.695471791,0.272412991,32.90575525,25.43024009,58.33599535,0.509620465,58.84561581,15.80247336,74.64808917,-14.24210893,60.40598024,-23.93700955,36.46897069
0.57108311,0.119403302,0.05540994,0.065332205,0.093113904,0.252531739,30.22313297,30.52193336,60.74506633,0.684281022,61.42934736,17.89678737,79.32613472,-12.49500181,66.83113292,-23.9812519,42.84988102
0.624506416,0.064753908,0.046120819,0.032378367,0.032507292,0.152027727,28.0522272,31.45008465,59.50231186,0.469533269,59.97184512,17.4998214,77.47166652,-12.91129771,64.56036881,-21.45293053,43.10743828
0.729554313,0.083998419,0.14528655,0.063345998,0.152489006,0.312540159,30.52962087,31.02230884,61.55192971,0.698101204,62.25003091,16.79446281,79.04449373,-10.6860115,68.35848222,-24.78531012,43.5731721
0.749964397,0.077784413,0.147898485,0.069717966,0.336413176,0.384637126,29.75811393,28.33845873,58.09657266,2.895226753,60.99179941,17.22384136,78.21564077,-16.28297614,61.93266463,-23.83670649,38.09595814
0.652203944,0.077775088,0.115322531,0.082903754,0.149075057,0.307661723,29.99492368,29.71440706,59.70933074,2.010043732,61.71937448,19.63009092,81.3494654,-14.65304274,66.69642266,-22.36636905,44.33005361
0.917307481,0.016688063,-0.05619021,0.005990296,0.341110416,0.23327404,28.46438981,24.2864225,52.75081231,-1.264962686,51.48584962,18.65614503,70.14199465,-12.78173205,57.3602626,-32.04873593,25.31152667
0.879365721,0.02255238,-0.048330702,0.006141282,0.255110627,0.167276804,24.39049286,26.93657053,51.32706339,-2.007335264,49.31972812,21.24529072,70.56501885,-11.26199739,59.30302145,-36.00301458,23.30000688
0.846941192,0.022095309,-0.052581374,0.004281139,0.277370013,0.198706123,25.70418914,26.49096421,52.19515335,-1.760885593,50.43426776,17.0394248,67.47369255,-9.720353314,57.75333924,-32.49817422,25.25516502
0.962586962,0.023647195,-0.032227559,0.001343624,-0.03420489,0.002664364,28.44006368,28.81160534,57.25166901,-2.021829474,55.22983954,21.24928212,76.47912166,-14.01513643,62.46398523,-24.80205308,37.66193216
0.976193853,0.018607754,-0.029050076,0.009446193,-0.02360831,0.055546985,28.91100237,30.67097595,59.58197832,-0.613318378,58.96865994,19.87156862,78.84022856,-11.57930398,67.26092458,-29.26396889,37.99695569
0.826914926,0.02449455,-0.031519207,0.007280969,0.00351315,0.113553274,28.5587366,30.99825898,59.55699558,-1.295318401,58.26167718,21.20935923,79.47103641,-15.58400058,63.88703583,-28.15127121,35.73576462
0.83538451,0.036601062,-0.032642365,0.01627344,0.055174517,0.17870225,34.42384402,32.14758881,66.57143282,-0.349296331,66.22213649,23.83106384,90.05320033,-19.61445185,70.43874848,-25.22485227,45.21389621
1.129567873,0.025326473,-0.013736974,0.015034474,0.360160984,0.173978916,35.6140813,30.63603184,66.25011313,0.843358574,67.09347171,19.67763896,86.77111066,-10.95093683,75.82017383,-35.08454024,40.73563359
1.066874463,0.040847688,-0.037113865,0.016146639,0.420336256,0.152649248,36.68574207,32.53399138,69.21973345,0.630875035,69.85060849,17.56827541,87.4188839,-8.351834933,79.06704896,-34.5030886,44.56396037
0.957246266,0.049978887,-0.012819607,0.018966854,0.095360762,0.216713588,34.79900118,32.4020108,67.20101198,-0.301282348,66.89972963,22.5812461,89.48097573,-13.64826401,75.83271172,-31.52932905,44.30338267
0.952780034,0.055522559,-0.003254239,0.025120879,0.192293551,0.284515396,36.03418004,33.64234128,69.67652132,-1.662935262,68.01358606,22.60631877,90.61990483,-19.09908837,71.52081645,-26.11528263,45.40553382
0.744158714,0.057808491,-0.031045579,0.007874535,0.023258464,0.163306919,29.68747831,30.42964886,60.11712717,-2.486428074,57.6306991,22.60673147,80.23743057,-18.19814959,62.03928099,-23.82600058,38.21328041
0.876505287,0.044153979,-0.028912138,0.009578677,0.206175163,0.286841513,33.68693174,31.64044176,65.3273735,-3.170280201,62.1570933,23.42246387,85.57955717,-18.05394793,67.52560924,-24.19894162,43.32666762
0.744932395,0.067764244,-0.04711737,0.008728273,0.058707379,0.203418238,27.2572787,28.20869719,55.4659759,-1.033269814,54.43270608,19.11622616,73.54893224,-13.92554241,59.62338983,-31.01991998,28.60346985
0.772018333,0.070247289,-0.045021792,0.004387798,0.007308837,0.131837216,27.04884271,30.33082435,57.37966707,-4.222020298,53.15764677,19.15364086,72.31128763,-11.29233568,61.01895196,-32.47509369,28.54385827
0.871103183,0.019909994,-0.048286916,0.004654952,0.01226929,0.155370067,27.63413451,27.92654494,55.56067945,-1.076914615,54.48376483,22.21857325,76.70233808,-21.15097304,55.55136503,-21.70517789,33.84618715
0.913148565,0.04075592,-0.039042647,0.008675601,0.06501937,0.211312545,29.34741554,31.58788306,60.9352986,-0.338917298,60.5963813,21.70966447,82.30604577,-21.39823893,60.90780684,-25.30148269,35.60632415
0.958172848,0.022762215,-0.034034551,0.01028635,0.024987289,0.154388553,29.97217415,32.03614096,62.00831511,-1.195976,60.81233911,22.61899973,83.43133884,-23.90392466,59.52741418,-23.24783779,36.27957639
1.004662804,0.139766161,-0.031299798,0.06715992,0.136864816,0.444826625,39.5953061,32.57156171,72.16686781,-0.720934406,71.4459334,19.17392827,90.61986167,-6.710091093,83.90977058,-36.70744237,47.20232821
0.908021933,0.059133775,-0.02203295,0.033480616,0.229421762,0.273878584,35.29952465,30.93496399,66.23448864,1.275368933,67.50985757,20.96030084,88.47015841,-13.3502689,75.11988951,-28.21613169,46.90375782
0.926771572,0.02407036,-0.055531901,0.011189615,0.008167948,0.113838994,32.4556435,30.45794871,62.91359222,2.349365265,65.26295748,17.88186518,83.14482266,-8.2249861,74.91983656,-31.88683943,43.03299714
0.915070065,0.038801429,0.023160689,0.042076082,0.526876321,0.267311783,33.09117986,26.22718772,59.31836759,3.310209728,62.62857732,15.89364951,78.52222683,-11.06598237,67.45624445,-26.93865061,40.51759384
0.759913489,0.039676446,0.157796627,0.064404917,0.230930873,0.327417848,29.16721973,26.50290818,55.6701279,4.403117573,60.07324548,14.31807321,74.39131868,-11.54524051,62.84607818,-22.51532169,40.33075648
0.737490126,0.052993454,0.141889074,0.070229967,0.190618003,0.326854176,31.79920293,28.40322262,60.20242555,1.457396504,61.65982205,19.39061989,81.05044194,-13.49055497,67.55988697,-23.64393022,43.91595675
0.759495276,0.051409143,0.161814201,0.084634782,0.320634078,0.392693514,31.56502781,27.40800866,58.97303646,2.968931905,61.94196837,15.57142811,77.51339648,-10.66397013,66.84942635,-27.12634958,39.72307677
0.638429702,0.070579308,0.049380175,0.040615817,0.15902931,0.297732188,31.20936812,32.5665698,63.77593792,0.556106509,64.33204443,21.90043847,86.2324829,-18.46400052,67.76848238,-22.31306887,45.45541351
0.987934564,0.022175535,-0.028355522,0.014125563,0.001098099,0.115823539,30.93754848,31.42938589,62.36693437,1.295960629,63.662895,19.22311401,82.88600901,-10.60423857,72.28177044,-31.53183665,40.74993378
0.948190619,0.030704885,-0.050639195,0.009111783,0.180663405,0.27884109,31.14556861,30.24579917,61.39136778,2.704380935,64.09574871,18.3694596,82.46520831,-10.73107983,71.73412848,-33.02855027,38.70557821
0.935552103,0.023279824,-0.051999183,0.006303516,0.184376003,0.26826584,31.30951329,30.37759223,61.68710552,1.659187502,63.34629302,19.85133399,83.19762701,-14.80420901,68.393418,-30.28988937,38.10352863
0.976751831,0.054739936,-0.05502716,0.007027973,0.175065435,0.172037458,28.13616295,25.61843268,53.75459563,0.399409652,54.15400528,19.80559306,73.95959834,-11.0867761,62.87282225,-32.10885899,30.76396326
0.829183628,0.026179227,-0.047936819,0.005997813,0.215408876,0.162438413,24.56104145,27.10295245,51.66399391,-1.528553522,50.13544039,18.77447373,68.90991412,-10.72462729,58.18528683,-31.90892494,26.27636189
0.833169682,0.036354339,-0.049625271,0.007333827,0.24205275,0.17048082,26.17192049,25.83977291,52.0116934,-1.114196671,50.89749673,18.19772365,69.09522038,-11.37631427,57.71890611,-32.5237559,25.19515021
0.883851467,0.043394456,-0.050961828,0.005293113,0.206438258,0.171524724,26.0291646,25.25655779,51.28572239,-1.169523791,50.1161986,20.03463415,70.15083275,-10.93723852,59.21359423,-33.70219978,25.51139445
0.8313531,0.029966429,-0.056001901,0.004684977,0.100295959,0.135243556,25.65453211,28.27167958,53.92621169,-1.967023131,51.95918855,18.23187256,70.19106111,-9.996551594,60.19450952,-33.32372063,26.87078889
0.853605477,0.024663378,-0.050795045,0.008050595,0.148787206,0.145674589,24.76574447,27.7683574,52.53410187,-1.436565449,51.09753642,18.62096137,69.71849779,-10.59830782,59.12018997,-33.44566302,25.67452695
0.813533446,0.032675515,-0.049924839,0.005714469,0.210043554,0.198900529,24.03708973,28.39163543,52.42872516,-1.418864574,51.00986059,17.44530629,68.45516688,-9.630196959,58.82496992,-32.58769736,26.23727256
0.885210369,0.041674537,-0.047039132,0.005326775,0.182714744,0.190612757,25.91042549,26.51963464,52.43006013,-1.321896165,51.10816396,18.49629352,69.60445748,-9.540492441,60.06396504,-32.41767276,27.64629227
0.935998684,0.021486487,-0.030306589,0.004388359,-0.02239414,0.050938514,27.651661,30.46060243,58.11226343,-2.856623661,55.25563977,19.19111058,74.44675035,-10.79604573,63.65070462,-27.37116082,36.2795438
